Label,Text
physics,recognition extraordinary services rendered discovery remarkable rays subsequently named
medicine,work serum therapy especially application diphtheria opened new road domain medical science thereby placed hands physician victorious weapon illness deaths
peace,humanitarian efforts help wounded soldiers create international understanding
peace,lifelong work international peace conferences diplomacy arbitration
literature,special recognition poetic composition gives evidence lofty idealism artistic perfection rare combination qualities heart intellect
chemistry,recognition extraordinary services rendered discovery laws chemical dynamics osmotic pressure solutions
chemistry,recognition extraordinary services rendered work sugar purine syntheses
literature,greatest living master art historical writing special reference monumental work ia history romei
peace,eminently practical administration interparliamentary union
peace,untiring skilful directorship bern peace bureau
physics,recognition extraordinary service rendered researches influence magnetism upon radiation phenomena
medicine,work malaria shown enters organism thereby laid foundation successful research disease methods combating
physics,recognition extraordinary service rendered researches influence magnetism upon radiation phenomena
physics,recognition extraordinary services rendered joint researches radiation phenomena discovered professor henri becquerel
peace,longstanding devoted effort favour ideas peace arbitration
physics,recognition extraordinary services rendered discovery spontaneous radioactivity
physics,recognition extraordinary services rendered joint researches radiation phenomena discovered professor henri becquerel
chemistry,recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element
medicine,recognition contribution treatment diseases especially lupus vulgaris concentrated light radiation whereby opened new avenue medical science
literature,tribute noble magnificent versatile poetry always distinguished freshness inspiration rare purity spirit
chemistry,recognition extraordinary services rendered advancement chemistry electrolytic theory dissociation
literature,recognition numerous brilliant compositions individual original manner revived great traditions spanish drama
physics,investigations densities important gases discovery argon connection studies
chemistry,recognition services discovery inert gaseous elements air determination place periodic system
medicine,recognition work physiology digestion knowledge vital aspects subject transformed enlarged
literature,recognition fresh originality true inspiration poetic production faithfully reflects natural scenery native spirit people addition significant work provenccedilal philologist
chemistry,recognition services advancement organic chemistry chemical industry work organic dyes hydroaromatic compounds
literature,outstanding merits epic writer
physics,work cathode rays
peace,audacity oppose horrors war
medicine,investigations discoveries relation tuberculosis
literature,consideration deep learning critical research tribute creative energy freshness style lyrical force characterize poetic masterpieces
peace,role bringing end bloody war recently waged two worlds great powers japan russia
physics,recognition great merits theoretical experimental investigations conduction electricity gases
medicine,recognition work structure nervous system
chemistry,recognition great services rendered investigation isolation element fluorine adoption service science electric furnace called
medicine,recognition work structure nervous system
medicine,recognition work role played protozoa causing diseases
chemistry,biochemical researches discovery cellfree fermentation
literature,consideration power observation originality imagination virility ideas remarkable talent narration characterize creations worldfamous author
peace,decisive influence upon conduct outcome hague geneva conferences
peace,work press peace meetings public private understanding france italy
physics,optical precision instruments spectroscopic metrological investigations carried aid
chemistry,investigations disintegration elements chemistry radioactive substances
literature,recognition earnest search truth penetrating power thought wide range vision warmth strength presentation numerous works vindicated developed idealistic philosophy life
peace,long time work cause peace politicians peace society leaders orators authors
medicine,recognition work immunity
medicine,recognition work immunity
peace,long time work cause peace politicians peace society leaders orators authors
physics,method reproducing colours photographically based phenomenon interference
physics,recognition contributions development wireless telegraphy
medicine,work physiology pathology surgery thyroid gland
literature,appreciation lofty idealism vivid imagination spiritual perception characterize writings
chemistry,recognition work catalysis investigations fundamental principles governing chemical equilibria rates reaction
physics,recognition contributions development wireless telegraphy
peace,prominent position international movement peace arbitration
peace,prominent position international movement peace arbitration
literature,tribute consummate artistry permeated idealism demonstrated long productive career lyric poet dramatist novelist writer worldrenowned short stories
physics,work equation state gases liquids
medicine,recognition contributions knowledge cell chemistry made work proteins including nucleic substances
chemistry,recognition services organic chemistry chemical industry pioneer work field alicyclic compounds
peace,effort expose fight considers main cause war namely anarchy international relations
peace,role cofounder institut de droit international initiator conferences international private law conférences de droit international privé hague pioneer field international legal relations
physics,recognition extraordinary services rendered joint researches radiation phenomena discovered professor henri becquerel
chemistry,recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element
physics,discoveries regarding laws governing radiation heat
literature,appreciation manysided literary activities especially dramatic works distinguished wealth imagination poetic fancy reveals sometimes guise fairy tale deep inspiration mysterious way appeal readers feelings stimulate imaginations
medicine,work dioptrics eye
literature,primarily recognition fruitful varied outstanding production realm dramatic art
medicine,recognition work vascular suture transplantation blood vessels organs
chemistry,method hydrogenating organic compounds presence finely disintegrated metals whereby progress organic chemistry greatly advanced recent years
chemistry,discovery socalled grignard reagent recent years greatly advanced progress organic chemistry
physics,invention automatic regulators use conjunction gas accumulators illuminating lighthouses buoys
peace,bringing better understanding countries north south america initiating important arbitration agreements united states countries
medicine,recognition work anaphylaxis
chemistry,recognition work linkage atoms molecules thrown new light earlier investigations opened new fields research especially inorganic chemistry
peace,unparalleled contribution organization peaceful internationalism
literature,profoundly sensitive fresh beautiful verse consummate skill made poetic thought expressed english words part literature west
physics,investigations properties matter low temperatures led inter alia production liquid helium
physics,discovery diffraction xrays crystals
medicine,work physiology pathology vestibular apparatus
